name,ann_return,ann_vol,sharpe,mdd,hist_VaR_5%,hist_ES_5%
AAPL,0.18566747812385054,0.2904300994265352,0.5704211734629676,-0.4016145157800227,-0.028172945945532837,-0.04274737859542326
MSFT,0.22469960570705294,0.2709087496302676,0.7556035232764687,-0.40610047194990895,-0.026637239832306533,-0.03945340232144353
NVDA,0.5497367256458872,0.4870571427514948,1.0876274653386373,-0.7186771740713963,-0.04591710926044085,-0.06909890873582891
PORTFOLIO,0.3375020628875647,0.30090019211013735,1.0551740118907953,-0.4643385007320653,-0.02980851576443384,-0.044947196670906596
