name,ann_return,ann_vol,sharpe,mdd,hist_VaR_5%,hist_ES_5%
AGG,0.015475162617323956,0.05308318023706452,-0.08524051050574859,-0.18701507385293148,-0.004917062065641601,-0.007701236412330592
EFA,0.05420735115201669,0.17467803018908656,0.19583087303530788,-0.37009721939393325,-0.01608438066315722,-0.02606564913656463
GLD,0.08885663143288469,0.1442231452718702,0.47743121468530847,-0.23893016807025869,-0.014683766620500277,-0.020612343585833817
IEMG,0.03364649773332862,0.201725798996446,0.0676487479599426,-0.4269662288403153,-0.019174268369897867,-0.0293729940037392
SPY,0.11498583330524292,0.1799534584003848,0.5278355534235168,-0.3574588711699086,-0.017000935844384647,-0.027957770446167
PORTFOLIO,0.07368818533415711,0.13196212254202133,0.40684542124624373,-0.27629156469881844,-0.012213528004749327,-0.01974212276003313
